vendor_id,category,feature,level,notes
salesmanago,AI Features,Content assistant,full,AI copilot
salesmanago,AI Features,Predictive analytics,partial,
salesmanago,Lead Scoring,Scoring rules,full,
salesmanago,E-commerce,Cart abandonment,full,
salesmanago,E-commerce,Product catalog sync,full,
salesmanago,Forms & Landing Pages,Form builder,full,
salesmanago,A/B Testing,Email A/B,full,
salesmanago,Product Recommendations,Recommendations,full,Core e-commerce
iterable,Email Marketing,Drag-drop editor,full,
iterable,Email Marketing,A/B testing,full,
iterable,Email Marketing,Personalization,full,
iterable,SMS Marketing,Bulk SMS,full,
iterable,Push Notifications,Mobile push,full,
iterable,In-App Messaging,In-app messages,full,
iterable,Automation,Visual workflow builder,full,Flexible Studio
iterable,Automation,Behavioral triggers,full,
iterable,Segmentation,Dynamic segments,full,
iterable,Analytics,Campaign reports,full,
iterable,Analytics,Revenue attribution,full,
iterable,AI Features,Content assistant,full,
iterable,AI Features,Predictive analytics,full,
iterable,Lead Scoring,Scoring rules,partial,
iterable,E-commerce,Cart abandonment,full,
iterable,E-commerce,Product catalog sync,full,Catalog
iterable,Forms & Landing Pages,Form builder,partial,
iterable,A/B Testing,Email A/B,full,
iterable,A/B Testing,Multivariate testing,full,
iterable,Product Recommendations,Recommendations,full,Catalog recommendations
sendlane,Email Marketing,Drag-drop editor,full,
sendlane,Email Marketing,A/B testing,full,
sendlane,Email Marketing,Personalization,full,
sendlane,SMS Marketing,Bulk SMS,full,
sendlane,Automation,Visual workflow builder,full,
sendlane,Automation,Behavioral triggers,full,
sendlane,Segmentation,Dynamic segments,full,
sendlane,Analytics,Campaign reports,full,
sendlane,AI Features,Content assistant,partial,
sendlane,Lead Scoring,Scoring rules,none,
sendlane,E-commerce,Cart abandonment,full,Ready workflows
sendlane,E-commerce,Product catalog sync,partial,
sendlane,Forms & Landing Pages,Form builder,partial,
sendlane,A/B Testing,Email A/B,full,
sendlane,Product Recommendations,Recommendations,partial,
klaviyo,Email Marketing,Drag-drop editor,full,
klaviyo,Email Marketing,A/B testing,full,
klaviyo,Email Marketing,Personalization,full,Dynamic content
klaviyo,SMS Marketing,Bulk SMS,full,
klaviyo,SMS Marketing,Two-way SMS,full,
klaviyo,Automation,Visual workflow builder,full,Flows
klaviyo,Automation,Behavioral triggers,full,Real-time
klaviyo,Segmentation,Dynamic segments,full,Very powerful
klaviyo,Analytics,Campaign reports,full,
klaviyo,Analytics,Revenue attribution,full,E-commerce focused
klaviyo,AI Features,Content assistant,full,
klaviyo,AI Features,Predictive analytics,full,
klaviyo,Lead Scoring,Scoring rules,partial,
klaviyo,E-commerce,Cart abandonment,full,
klaviyo,E-commerce,Product catalog sync,full,
klaviyo,Forms & Landing Pages,Form builder,full,
klaviyo,A/B Testing,Email A/B,full,
klaviyo,Product Recommendations,Recommendations,full,Catalog-based
