vendor_id,name,logo_path,website_url,short_description,long_description,target_segments,complexity,g2_rating,g2_reviews_count,g2_url,g2_last_checked,capterra_rating,capterra_reviews_count,capterra_url,capterra_last_checked,pricing_model,starting_price_bucket,pricing_notes,strength_tags,weakness_tags,industries,supported_goals,channels,integrations,governance_features,country,last_updated,is_brevo
acoustic,Acoustic Campaign,/logos/acoustic.svg,https://www.acoustic.com,"Multi-channel marketing automation with IBM Watson heritage.","Acoustic (formerly IBM Watson Campaign Automation) is a multi-channel marketing platform with Silverpop heritage. It offers solid email marketing and automation capabilities for mid-market and enterprise.",MM|ENT,medium,3.5,600,https://www.g2.com/products/acoustic-campaign/reviews,2025-01-15,4.2,400,https://www.capterra.com/p/176179/Acoustic-Campaign/,2025-01-15,custom,enterprise,Pricing on request,robust-email|automation|ibm-ecosystem,dated-interface|declining-innovation|shrinking-community,Enterprise|Services,Retention,email|sms,Salesforce|MS-Dynamics,GDPR|EU-available,United States,2025-01-15,false
magnews,Magnews,/logos/magnews.svg,https://www.magnews.com,"Email and automation platform focused on the Italian market.","Magnews is an Italian email marketing and automation platform adapted to the local market. It offers email SMS and push capabilities with Italian-language support.",MM,light,0,0,,2025-01-15,0,0,,2025-01-15,custom,enterprise,Pricing on request,italian-market|local-support|responsive,limited-international|no-ai|modest-integrations,General|Services,Retention,email|sms,API-integrations,GDPR|EU-hosting,Italy,2025-01-15,false
blueshift,Blueshift,/logos/blueshift.svg,https://www.blueshift.com,"SmartHub CDP with omnichannel automation and AI marketing.","Blueshift is a US CDP and omnichannel automation platform with AI-powered personalization. It offers real-time recommendations scoring and unified customer view for data-driven marketers.",MM|ENT,heavy,4.5,300,https://www.g2.com/products/blueshift/reviews,2025-01-15,4.6,200,https://www.capterra.com/p/145663/Blueshift/,2025-01-15,custom,enterprise,Pricing on request,ai-personalization|cdp|omnichannel|proactive-support,technical-requirements|non-technical-ux|expensive,E-commerce|SaaS,Retention|Omnichannel,email|sms|push,Salesforce|Segment|Shopify,EU-option,United States,2025-01-15,false
activecampaign,ActiveCampaign,/logos/activecampaign.svg,https://www.activecampaign.com,"Advanced automation platform with CRM and sales engagement features.","ActiveCampaign combines email marketing automation and CRM tools with 900+ integrations. It offers powerful visual workflows lead scoring and GPT-powered assistant for SMB and mid-market.",SMB|MM,medium,4.5,13567,https://www.g2.com/products/activecampaign/reviews,2025-01-15,4.6,12456,https://www.capterra.com/p/125708/ActiveCampaign/,2025-01-15,contacts,low,Starting at $15/month for 1000 contacts,powerful-automation|segmentation|integrations|crm,busy-interface|pricing-scales|limited-reporting,E-commerce|SaaS|Services,Acquisition|Activation|Retention,email|sms|whatsapp,Salesforce|MS-Dynamics|Shopify|WooCommerce,GDPR|EU-datacenter,United States,2025-01-15,false
activetrail,ActiveTrail,/logos/activetrail.svg,https://www.activetrail.com,"Email and SMS marketing platform for SMBs.","ActiveTrail is an Israeli email and SMS marketing platform offering simple all-in-one capabilities for small businesses. It provides good value with basic automation features.",SMB,light,4.3,200,https://www.g2.com/products/activetrail/reviews,2025-01-15,4.5,150,https://www.capterra.com/p/145297/ActiveTrail/,2025-01-15,contacts,low,Starting at 11 EUR/month,simple|effective|value|french-interface,basic-automation|limited-design|rare-integrations,General|Services,Retention,email|sms,API-Zapier,GDPR|EU-option,Israel,2025-01-15,false
plezi,Plezi,/logos/plezi.svg,https://www.plezi.co,"Inbound marketing automation for B2B content and lead generation.","Plezi is a French inbound marketing automation platform for B2B companies. It focuses on content marketing lead nurturing and scoring with ready-to-use campaign templates.",SMB|MM,medium,0,0,,2025-01-15,4.6,100,https://www.capterra.fr/software/146907/plezi,2025-01-15,custom,medium,Starting at 199 EUR/month,inbound-b2b|ready-templates|french-support,limited-multichannel|limited-integrations|limited-roi-analytics,SaaS|Services|B2B,Acquisition|Activation,email,HubSpot|Salesforce|Pipedrive,GDPR|France-hosting,France,2025-01-15,false
webmecanik,Webmecanik Automation,/logos/webmecanik.svg,https://www.webmecanik.com,"Open-source based automation tool built on Mautic.","Webmecanik is a French marketing automation platform based on Mautic open-source. It offers flexibility transparent pricing and multi-account capabilities ideal for agencies.",SMB|MM,medium,0,0,,2025-01-15,4.4,80,https://www.capterra.fr/software/178590/webmecanik-automation,2025-01-15,custom,medium,Starting at 60 EUR/month,open-source|flexible|transparent-pricing|agencies,technical-requirements|less-polished|mautic-dependent,General|Services,Acquisition|Retention,email|sms,Open-API-Mautic-plugins,GDPR|France-hosting,France,2025-01-15,false
act-on,Act-On,/logos/act-on.svg,https://www.act-on.com,"B2B marketing automation for lead generation and nurturing.","Act-On is a US B2B marketing automation platform offering comprehensive lead generation nurturing and scoring capabilities. It provides an intuitive interface for non-technical marketers.",MM,medium,4.1,800,https://www.g2.com/products/act-on/reviews,2025-01-15,4.3,600,https://www.capterra.com/p/132741/Act-On/,2025-01-15,custom,high,Starting at $900/month,user-friendly|lead-nurturing|responsive-support,fewer-integrations|limited-personalization|smaller-ecosystem,SaaS|Services|B2B,Acquisition|Activation,email|sms,Salesforce|MS-Dynamics|SugarCRM,GDPR|EU-option,United States,2025-01-15,false
mailchimp,Mailchimp,/logos/mailchimp.svg,https://mailchimp.com,"Popular email marketing platform with easy automation and templates.","Mailchimp (Intuit) is one of the most popular email marketing platforms offering newsletters basic automation and landing pages. Known for its user-friendly interface and generous free tier.",SMB,light,4.3,12890,https://www.g2.com/products/mailchimp/reviews,2025-01-15,4.6,17234,https://www.capterra.com/p/100675/Mailchimp/,2025-01-15,contacts,low,Starting at $13/month,ease-of-use|free-tier|templates|integrations,basic-automation|limited-segmentation|paid-support,E-commerce|Services|General,Acquisition|Retention,email,Salesforce|Shopify|WooCommerce|HubSpot,No-EU-hosting,United States,2025-01-15,false
zeta,Zeta Marketing Platform,/logos/zeta.svg,https://zetaglobal.com,"Enterprise data-driven marketing cloud with CDP and omnichannel activation.","Zeta Global is an enterprise marketing cloud platform offering CDP AI-powered personalization and omnichannel activation. It leverages a vast identity graph for intent marketing.",ENT,heavy,4.0,400,https://www.g2.com/products/zeta-marketing-platform/reviews,2025-01-15,4.2,300,https://www.capterra.com/p/181175/Zeta-Global/,2025-01-15,custom,enterprise,Pricing on request,first-party-data|ai-personalization|enterprise-complete,complex|expensive|large-accounts-only,Enterprise|E-commerce,Retention|Omnichannel,email|sms|push,Salesforce|Oracle,EU-option,United States,2025-01-15,false
getresponse,GetResponse,/logos/getresponse.svg,https://getresponse.com,"All-in-one email marketing and automation for SMBs and e-commerce.","GetResponse is a Polish email marketing platform offering email automation webinars landing pages and e-commerce features. It provides good value with AI email capabilities.",SMB,medium,4.2,1500,https://www.g2.com/products/getresponse/reviews,2025-01-15,4.2,1200,https://www.capterra.com/p/750/GetResponse/,2025-01-15,contacts,low,Starting at $19/month,all-in-one|value|email-editor|webinars,dated-interface|variable-support|limited-advanced-segmentation,E-commerce|General,Acquisition|Retention,email|sms,Shopify|Magento|Salesforce-via-Zapier,GDPR|EU-hosting,Poland,2025-01-15,false
ortto,Ortto,/logos/ortto.svg,https://ortto.com,"Visual automation platform with simplified drag-and-drop workflows.","Ortto (formerly Autopilot) is an Australian visual marketing automation platform known for its intuitive drag-and-drop workflow builder. It serves startups and growth-focused teams.",SMB|MM,medium,4.4,400,https://www.g2.com/products/ortto/reviews,2025-01-15,4.5,300,https://www.capterra.com/p/175060/Ortto/,2025-01-15,custom,low,Starting at $29/month,visual-workflows|intuitive|growth-hacking|design,not-enterprise-scale|limited-outside-workflows|timezone-support,SaaS|E-commerce,Activation|Retention,email|sms,Salesforce|HubSpot,Multi-region-hosting,Australia,2025-01-15,false
benchmark-email,Benchmark Email,/logos/benchmark.svg,https://benchmarkemail.com,"Simple email marketing for newsletters and autoresponders.","Benchmark Email is a US email marketing platform focused on simple newsletter sending and basic autoresponders. It offers an accessible interface in multiple languages at attractive pricing.",SMB,light,4.1,300,https://www.g2.com/products/benchmark-email/reviews,2025-01-15,4.3,250,https://www.capterra.com/p/112042/Benchmark-Email/,2025-01-15,contacts,low,Starting at $11/month,easy-newsletters|french-interface|affordable,no-automation|fewer-templates|no-recent-updates,General|Services,Retention,email,Zapier-integrations,No-EU-hosting,United States,2025-01-15,false
mapp-cloud,Mapp Cloud,/logos/mapp.svg,https://mapp.com,"Digital marketing cloud with email mobile and web analytics.","Mapp Cloud is a digital marketing platform combining analytics and marketing activation capabilities. It offers email mobile and push marketing with AI enrichment and CDP features.",MM|ENT,medium,4.0,200,https://www.g2.com/products/mapp-cloud/reviews,2025-01-15,4.1,150,https://www.capterra.com/p/174169/Mapp-Cloud/,2025-01-15,custom,enterprise,Pricing on request,unified-platform|mobile-marketing|good-support,lagging-interface|lower-notoriety|heavy-implementation,E-commerce|Services,Retention|Omnichannel,email|sms|push,Salesforce|Magento,GDPR|EU-hosting,United States,2025-01-15,false
oracle-responsys,Oracle Responsys,/logos/oracle-responsys.svg,https://oracle.com/marketingcloud,"Enterprise B2C marketing cross-channel platform for large-scale campaigns.","Oracle Responsys is an enterprise B2C marketing platform within Oracle CX offering cross-channel campaign orchestration at massive scale. It integrates with Oracle Commerce and CX Unity.",ENT,heavy,3.8,500,https://www.g2.com/products/oracle-cx-marketing-responsys/reviews,2025-01-15,4.0,350,https://www.capterra.com/p/174265/Oracle-Responsys/,2025-01-15,custom,enterprise,Pricing on request,high-scale|oracle-integration|multi-channel,steep-learning-curve|legacy-ux|not-agile,Enterprise|E-commerce|Retail,Retention|Omnichannel,email|sms|push,Oracle-CX|Salesforce,GDPR|Oracle-EU,United States,2025-01-15,false
oracle-eloqua,Oracle Eloqua,/logos/oracle-eloqua.svg,https://oracle.com/marketingcloud/eloqua,"Advanced B2B marketing automation with complex lead scoring and nurturing.","Oracle Eloqua is an enterprise B2B marketing automation platform offering advanced lead scoring nurturing and account-based marketing. It integrates deeply with CRM systems.",MM|ENT,heavy,4.1,1200,https://www.g2.com/products/eloqua/reviews,2025-01-15,4.2,900,https://www.capterra.com/p/119757/Oracle-Eloqua/,2025-01-15,custom,enterprise,Pricing on request,b2b-powerful|lead-scoring|crm-integration|large-community,complex-interface|requires-dedicated-team|expensive,SaaS|Services|B2B|Enterprise,Acquisition|Activation|CRM,email,Salesforce|Oracle-CX|MS-Dynamics,GDPR|Oracle-EU,Canada,2025-01-15,false
makesbridge,Makesbridge,/logos/makesbridge.svg,https://www.makesbridge.com,"All-in-one marketing automation with email pages and web tracking.","Makesbridge is a US all-in-one marketing platform offering email landing pages and web tracking at accessible pricing. It focuses on simplicity and Salesforce integration.",SMB,light,0,0,,2025-01-15,4.5,50,https://www.capterra.com/p/133807/Makesbridge/,2025-01-15,contacts,low,Starting at $10/month,all-in-one|simple|responsive-support,unknown-interface|no-ai|salesforce-focus,General|Services,Acquisition|Retention,email,Salesforce,No-EU-hosting,United States,2025-01-15,false
salesmanago,SALESmanago,/logos/salesmanago.svg,https://salesmanago.com,"CDP and marketing automation for e-commerce B2C.","SALESmanago is a Polish CDP and marketing automation platform focused on e-commerce B2C. It offers cart abandonment recommendations CRM and AI copilot features at competitive pricing.",MM|ENT,medium,4.5,600,https://www.g2.com/products/salesmanago/reviews,2025-01-15,4.6,400,https://www.capterra.com/p/145163/SALESmanago/,2025-01-15,custom,medium,Starting at 149 EUR/month,ecommerce-complete|rapid-evolution|value,dense-interface|occasional-bugs|variable-support,E-commerce|Retail,Retention|Omnichannel,email|sms|whatsapp,Shopify|Magento|Salesforce,GDPR|EU-hosting,Poland,2025-01-15,false
iterable,Iterable,/logos/iterable.svg,https://iterable.com,"Growth marketing platform for cross-channel mobile and email.","Iterable is a US growth marketing platform specializing in cross-channel orchestration for mobile and email. It offers flexible workflow builder AI optimization and catalog recommendations.",ENT,heavy,4.2,700,https://www.g2.com/products/iterable/reviews,2025-01-15,4.5,500,https://www.capterra.com/p/147293/Iterable/,2025-01-15,custom,enterprise,Pricing on request,cross-channel|flexible-workflows|good-csm,expensive|technical-required|no-native-crm,SaaS|E-commerce|Mobile,Activation|Retention|Omnichannel,email|sms|push|in-app,Segment|Salesforce-Marketing-Cloud,GDPR|EU-on-request,United States,2025-01-15,false
sendlane,Sendlane,/logos/sendlane.svg,https://sendlane.com,"Email and SMS marketing automation for e-commerce.","Sendlane is a US email and SMS marketing platform specialized for e-commerce. It offers ready-to-use cart abandonment workflows simple interface and concierge support.",SMB,medium,4.5,200,https://www.g2.com/products/sendlane/reviews,2025-01-15,4.7,150,https://www.capterra.com/p/176907/Sendlane/,2025-01-15,contacts,medium,Starting at $99/month,ecommerce-ready|simple|concierge-support,fewer-templates|no-lead-scoring|smaller-integrations,E-commerce,Retention,email|sms,Shopify|WooCommerce,No-EU-hosting,United States,2025-01-15,false
klaviyo,Klaviyo,/logos/klaviyo.svg,https://www.klaviyo.com,"E-commerce focused marketing automation with deep Shopify integration.","Klaviyo is a marketing automation platform built specifically for e-commerce brands. It offers powerful email and SMS marketing with advanced segmentation based on real-time customer data.",SMB|MM|ENT,medium,4.6,1823,https://www.g2.com/products/klaviyo/reviews,2025-01-15,4.7,1245,https://www.capterra.com/p/150596/Klaviyo/,2025-01-15,contacts,medium,Pricing scales with contacts,ecommerce|segmentation|analytics|shopify-integration,pricing-at-scale|learning-curve,E-commerce,Acquisition|Retention,email|sms,Shopify|WooCommerce|BigCommerce|Magento|Salesforce,GDPR|EU-option,United States,2025-01-15,false
